simulation,n_disasters,total_appropriation,mean_appropriation
4591,1,10387099.201089354,10387099.201089354
4592,5,30667904.68328173,6133580.936656347
4593,1,86496121.39205663,86496121.39205663
4594,1,1711764.042654535,1711764.042654535
4595,1,102784644.91381249,102784644.91381249
4596,1,10725277.817725956,10725277.817725956
4597,1,33914489.860602394,33914489.860602394
4598,2,61838772.131418295,30919386.065709148
4599,3,292409539.6415257,97469846.54717523
4600,5,127844281.06733397,25568856.213466793
4601,2,10125603.500240952,5062801.750120476
4602,1,44731823.20413321,44731823.20413321
4603,1,66402049.01287474,66402049.01287474
4604,6,68773981.32294469,11462330.220490782
4605,1,4678945.599143908,4678945.599143908
4606,6,73579911.70860635,12263318.618101059
4607,1,11069975.789632253,11069975.789632253
4608,6,266006994.60854882,44334499.101424806
4609,1,5691916.526740089,5691916.526740089
4610,2,23108855.317491844,11554427.658745922
4611,1,2001164.8981347082,2001164.8981347082
4612,5,15783092.371415418,3156618.4742830833
4613,1,32753051.91915024,32753051.91915024
4614,1,77636187.5118674,77636187.5118674
4615,1,2170224.9614357906,2170224.9614357906
4616,1,39923121.62897679,39923121.62897679
4617,1,579701.4510163313,579701.4510163313
4618,2,53264211.00746798,26632105.50373399
4619,1,1448841.314576346,1448841.314576346
4620,1,656525.4376423225,656525.4376423225
4621,1,1088555.8106322135,1088555.8106322135
4622,2,54347363.94955832,27173681.97477916
4623,1,14474377.529215196,14474377.529215196
4624,3,180189120.85842305,60063040.286141016
4625,5,25774230.68792336,5154846.137584672
4626,3,38752344.23278454,12917448.077594846
4627,6,168364378.5791493,28060729.76319155
4628,6,97814721.52053486,16302453.58675581
4629,3,202579591.15208605,67526530.38402869
4630,1,4765599.431951838,4765599.431951838
4631,1,18361003.8492615,18361003.8492615
4632,5,129978917.85318875,25995783.57063775
4633,3,15486737.675360776,5162245.8917869255
4634,3,4813524.453303417,1604508.1511011391
4635,1,11484393.126181515,11484393.126181515
4636,3,54478312.5061493,18159437.502049766
4637,5,276374796.18767774,55274959.23753555
4638,1,11453092.220942073,11453092.220942073
4639,5,105475789.20877601,21095157.841755204
4640,3,81130192.28571242,27043397.428570807
4641,5,59216337.35860254,11843267.471720507
4642,1,11087243.911861816,11087243.911861816
4643,2,23945375.540895052,11972687.770447526
4644,2,76378071.69651157,38189035.84825578
4645,1,58168026.14576028,58168026.14576028
4646,6,59140920.410572216,9856820.068428703
4647,1,24382273.92442109,24382273.92442109
4648,6,139161459.53411397,23193576.589018997
4649,1,4758257.045028257,4758257.045028257
4650,1,10005841.026946995,10005841.026946995
4651,5,361807130.2352885,72361426.0470577
4652,1,1716833.7408948874,1716833.7408948874
