simulation,n_disasters,total_appropriation,mean_appropriation
707,5,69800391.1812697,13960078.236253941
708,2,76094682.14536843,38047341.07268421
709,2,38422641.50660107,19211320.753300536
710,1,6154010.907909882,6154010.907909882
711,1,54630380.338842236,54630380.338842236
712,1,7822701.269240065,7822701.269240065
713,5,164225113.83638513,32845022.767277025
714,5,123709561.20415758,24741912.240831517
715,1,12123100.154788768,12123100.154788768
716,1,7684300.442927205,7684300.442927205
717,5,16454830.187345635,3290966.037469127
718,3,8303721.222195793,2767907.0740652643
719,3,11747802.486105047,3915934.162035016
720,1,10836663.758316677,10836663.758316677
721,1,3015753.040025852,3015753.040025852
722,1,6957157.500122617,6957157.500122617
723,1,255592411.30912644,255592411.30912644
724,1,556025.9971240315,556025.9971240315
725,6,71574958.27418315,11929159.71236386
726,1,29527243.011790495,29527243.011790495
727,1,19799365.68033776,19799365.68033776
728,5,42036941.86359644,8407388.372719288
729,1,25615191.550047442,25615191.550047442
730,6,169383811.60337135,28230635.26722856
731,5,118858372.12830603,23771674.425661206
732,1,39276867.51999712,39276867.51999712
733,3,120080018.5742848,40026672.85809494
734,6,316893114.3484709,52815519.05807849
735,1,14735409.485418096,14735409.485418096
736,5,113549557.47784084,22709911.495568167
737,2,22396290.459711105,11198145.229855552
738,1,3180450.7576042125,3180450.7576042125
739,1,18822703.337537333,18822703.337537333
740,1,54577993.53863806,54577993.53863806
741,5,1148185978.8526304,229637195.77052608
742,1,28436662.634780206,28436662.634780206
743,1,927939.7421597897,927939.7421597897
744,1,15094723.03442661,15094723.03442661
745,2,104861065.8485589,52430532.92427945
746,1,12844272.592847753,12844272.592847753
747,1,13501875.472166201,13501875.472166201
748,1,2145881.057776968,2145881.057776968
749,2,53042533.47446948,26521266.73723474
750,5,54292232.10567977,10858446.421135955
751,1,3695285.418802057,3695285.418802057
752,1,910725.359173815,910725.359173815
753,6,64702626.52050068,10783771.086750114
754,5,11402591.254528029,2280518.250905606
755,5,64468412.16153981,12893682.432307962
756,5,92063042.53593877,18412608.507187754
757,1,9033535.411682224,9033535.411682224
758,2,22774643.386455737,11387321.693227869
759,6,492111899.8108751,82018649.96847919
760,5,66955355.71279641,13391071.142559282
761,1,108780908.436538,108780908.436538
